id,subcategory,title,price,popularity
5918,mobile,Micromax Canvas A82,4949,263
5376,mobile,Lava Arc 22 Beats,1429,262
2983,mobile,Lenovo A390,6300,261
3981,mobile,Xolo Q1100,6990,261
469,mobile,Samsung C3010,1754,260
4216,mobile,Lava Iris 504Q Plus,17100,260
4572,mobile,Panasonic GD31,1969,260
5957,mobile,Intex Aqua Y2 Remote,3649,260
3334,tablet,Samsung  Galaxy Note 10.1 (2014 Edition),47369,259
499,mobile,Samsung Guru Dual 26 E1252,1748,258
2421,mobile,Nokia Asha 205 Dual Sim,3311,258
5845,mobile,Micromax AD3520,4535,257
3132,mobile,Celkon A119Q Signature HD,9898,256
3490,mobile,Videocon A54,4650,255
3748,mobile,Micromax Bolt A28,3200,255
7006,tablet,IBall Slide 3G Q45,5157,255
2164,mobile,Samsung Galaxy Y Duos Lite,4992,254
2385,mobile,Lenovo A60 Plus Augusta,6037,254
2246,mobile,Nokia Asha 308,4089,253
3120,tablet,Lenovo  IdeaTab A1000,6399,253
4436,mobile,Karbonn Opium N7,3440,251
4934,mobile,Zen Ultrafone 506,5160,251
7266,mobile,Karbonn Titanium S15 Plus,3790,251
7144,mobile,Karbonn A109,2818,250
3128,mobile,HTC Desire 500,16500,250
4980,tablet,Digiflip Pro XT811 Tablet,8000,250
5208,mobile,Spice Full Touch MI-347,2299,249
7381,tablet,Micromax Funbook Mini P410i,5356,249
3238,mobile,Gionee CTRL V4,9399,248
3723,mobile,Micromax GC232,2525,248
5190,mobile,Celkon Millennia Epic Q550,9275,247
6169,mobile,Karbonn  Platinum P9,8999,247
7085,mobile,Karbonn Alfa A104,1680,247
4234,mobile,Xolo Q600s,6999,246
5143,mobile,Alcatel OneTouch Flash,8499,246
3977,mobile,DataWind PocketSurfer 3G5,3824,245
5355,mobile,Videocon V1520,790,245
5511,mobile,Sansui R3 Flame,640,245
6534,tablet,Ambrane A3-7 Plus,3399,245
4162,mobile,Gionee S90,1784,244
4706,mobile,Xolo A1000S,4949,243
7351,mobile,Lenovo K910L,16350,242
5141,mobile,IBall iBall Pearl D3,1648,242
